Machines > Bridgeport Mill 1 > Spindle > X-Axial > Peak Acceleration,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Peak Velocity,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Band 1,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Damage Accumulation,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > RMS Velocity,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Temperature,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > RMS Velocity,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Temperature,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Peak Acceleration,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Peak Velocity,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Band 1,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Damage Accumulation,,,Machines > Bridgeport Mill 1 > Spindle > Battery Voltage,
2/23/20 6:29,0.0439311,,2/23/20 6:29,0.0089994,,2/23/20 6:29,0.0018403,,2/23/20 6:29,0.9551075,,2/23/20 6:39,0.003079,,2/23/20 6:19,64.09529419,,2/23/20 6:29,0.0032137,,2/23/20 6:19,64.09529419,,2/23/20 6:39,0.0417474,,2/23/20 6:39,0.0093187,,2/23/20 6:39,0.001795,,2/23/20 6:49,0.9246493,,2/23/20 6:19,3.151941538
2/23/20 6:39,0.0471078,,2/23/20 6:39,0.0115376,,2/23/20 6:39,0.0028331,,2/23/20 6:39,0.9671279,,2/23/20 6:49,0.0028918,,2/23/20 6:29,64.25116272,,2/23/20 6:39,0.0037179,,2/23/20 6:29,64.25116272,,2/23/20 6:49,0.0407007,,2/23/20 6:49,0.0079099,,2/23/20 6:49,0.0016307,,2/23/20 6:59,0.9500337,,2/23/20 6:29,3.151746035
2/23/20 6:49,0.0465456,,2/23/20 6:49,0.0082528,,2/23/20 6:49,0.0021065,,2/23/20 6:49,0.9930494,,2/23/20 6:59,0.002612,,2/23/20 6:40,63.70553017,,2/23/20 6:49,0.0032521,,2/23/20 6:40,63.70553017,,2/23/20 6:59,0.0443805,,2/23/20 6:59,0.0070153,,2/23/20 6:59,0.0016388,,2/23/20 7:09,0.964124,,2/23/20 6:40,3.151746035
2/23/20 6:59,0.0531387,,2/23/20 6:59,0.0100704,,2/23/20 6:59,0.0021831,,2/23/20 6:59,0.9255484,,2/23/20 7:09,0.0025017,,2/23/20 6:50,63.7444973,,2/23/20 6:59,0.0031446,,2/23/20 6:50,63.7444973,,2/23/20 7:09,0.0387821,,2/23/20 7:09,0.0065398,,2/23/20 7:09,0.0017269,,2/23/20 7:19,1.0038921,,2/23/20 6:50,3.151453018
2/23/20 7:09,0.0504713,,2/23/20 7:09,0.0077746,,2/23/20 7:09,0.0014347,,2/23/20 7:09,0.9838679,,2/23/20 7:19,0.0037028,,2/23/20 6:59,63.15984955,,2/23/20 7:09,0.0023659,,2/23/20 6:59,63.15984955,,2/23/20 7:19,0.0422573,,2/23/20 7:19,0.0107342,,2/23/20 7:19,0.0050859,,2/23/20 7:29,0.9738301,,2/23/20 6:59,3.151843548
2/23/20 7:19,0.0442259,,2/23/20 7:19,0.0104898,,2/23/20 7:19,0.0019779,,2/23/20 7:19,0.9479818,,2/23/20 7:29,0.0027745,,2/23/20 7:09,63.47163467,,2/23/20 7:19,0.0027523,,2/23/20 7:09,63.47163467,,2/23/20 7:29,0.053065,,2/23/20 7:29,0.0074767,,2/23/20 7:29,0.0013596,,2/23/20 7:39,1.0026379,,2/23/20 7:09,3.151843548
2/23/20 7:29,0.0448449,,2/23/20 7:29,0.0094413,,2/23/20 7:29,0.0025185,,2/23/20 7:29,0.9723936,,2/23/20 7:39,0.0027796,,2/23/20 7:19,64.40707932,,2/23/20 7:29,0.00339,,2/23/20 7:19,64.40707932,,2/23/20 7:39,0.0407161,,2/23/20 7:39,0.0078767,,2/23/20 7:39,0.0026048,,2/23/20 7:49,0.9972641,,2/23/20 7:19,3.151746035
2/23/20 7:39,0.0446811,,2/23/20 7:39,0.0080387,,2/23/20 7:39,0.0021419,,2/23/20 7:39,0.930067,,2/23/20 7:49,0.0034355,,2/23/20 7:29,63.82243156,,2/23/20 7:39,0.0027531,,2/23/20 7:29,63.82243156,,2/23/20 7:49,0.0489972,,2/23/20 7:49,0.01174,,2/23/20 7:49,0.0031169,,2/23/20 7:59,0.9588998,,2/23/20 7:29,3.151453018
2/23/20 7:49,0.0443813,,2/23/20 7:49,0.0087913,,2/23/20 7:49,0.0015669,,2/23/20 7:49,0.9775357,,2/23/20 7:59,0.0028124,,2/23/20 7:39,63.70553017,,2/23/20 7:49,0.0032056,,2/23/20 7:39,63.70553017,,2/23/20 7:59,0.0422752,,2/23/20 7:59,0.0088025,,2/23/20 7:59,0.0021018,,2/23/20 8:09,1.017315,,2/23/20 7:39,3.151941538
2/23/20 7:59,0.0466845,,2/23/20 7:59,0.0127613,,2/23/20 7:59,0.0023714,,2/23/20 7:59,0.9526138,,2/23/20 8:09,0.0027051,,2/23/20 7:50,63.78346443,,2/23/20 7:59,0.0035263,,2/23/20 7:50,63.78346443,,2/23/20 8:09,0.0499544,,2/23/20 8:09,0.0091606,,2/23/20 8:09,0.0020153,,2/23/20 8:19,0.9745954,,2/23/20 7:50,3.151843548
2/23/20 8:09,0.0478059,,2/23/20 8:09,0.0126501,,2/23/20 8:09,0.0027381,,2/23/20 8:09,1.0315117,,2/23/20 8:19,0.0030066,,2/23/20 7:59,63.51064987,,2/23/20 8:09,0.0030134,,2/23/20 7:59,63.51064987,,2/23/20 8:19,0.0383432,,2/23/20 8:19,0.0083162,,2/23/20 8:19,0.0041812,,2/23/20 8:29,0.9471167,,2/23/20 7:59,3.151550531
2/23/20 8:19,0.0462099,,2/23/20 8:19,0.0095779,,2/23/20 8:19,0.0025063,,2/23/20 8:19,0.9703172,,2/23/20 8:29,0.0026107,,2/23/20 8:09,63.35473328,,2/23/20 8:19,0.0028359,,2/23/20 8:09,63.35473328,,2/23/20 8:29,0.0432984,,2/23/20 8:29,0.0094835,,2/23/20 8:29,0.0016484,,2/23/20 8:39,0.9492225,,2/23/20 8:09,3.150964737
2/23/20 8:29,0.0555585,,2/23/20 8:29,0.009292,,2/23/20 8:29,0.0026099,,2/23/20 8:29,0.974707,,2/23/20 8:39,0.0029866,,2/23/20 8:19,63.78346443,,2/23/20 8:29,0.0034635,,2/23/20 8:19,63.78346443,,2/23/20 8:39,0.0429176,,2/23/20 8:39,0.0077636,,2/23/20 8:39,0.0032444,,2/23/20 8:49,0.9572658,,2/23/20 8:19,3.151648283
2/23/20 8:39,0.043714,,2/23/20 8:39,0.008672,,2/23/20 8:39,0.0028351,,2/23/20 8:39,0.926074,,2/23/20 8:49,0.0028576,,2/23/20 8:29,64.05627899,,2/23/20 8:39,0.0027197,,2/23/20 8:29,64.05627899,,2/23/20 8:49,0.0408933,,2/23/20 8:49,0.0115586,,2/23/20 8:49,0.0025277,,2/23/20 8:58,0.9640722,,2/23/20 8:29,3.151257753
2/23/20 8:49,0.051748,,2/23/20 8:49,0.0082856,,2/23/20 8:49,0.0030357,,2/23/20 8:49,0.9443236,,2/23/20 8:58,0.0029774,,2/23/20 8:40,63.47163467,,2/23/20 8:49,0.0030015,,2/23/20 8:40,63.47163467,,2/23/20 8:58,0.0429241,,2/23/20 8:58,0.0114839,,2/23/20 8:58,0.0012682,,2/23/20 9:09,0.955534,,2/23/20 8:40,3.151550531
2/23/20 8:58,0.0428728,,2/23/20 8:58,0.0108458,,2/23/20 8:58,0.0026214,,2/23/20 8:58,0.9581834,,2/23/20 9:09,0.0033121,,2/23/20 8:50,64.13426132,,2/23/20 8:58,0.0030647,,2/23/20 8:50,64.13426132,,2/23/20 9:09,0.0367362,,2/23/20 9:09,0.0094116,,2/23/20 9:09,0.0032344,,2/23/20 9:19,0.9341253,,2/23/20 8:50,3.151453018
2/23/20 9:09,0.0433311,,2/23/20 9:09,0.0111058,,2/23/20 9:09,0.0024521,,2/23/20 9:09,0.9739239,,2/23/20 9:19,0.0029133,,2/23/20 8:59,63.8613987,,2/23/20 9:09,0.0039837,,2/23/20 8:59,63.8613987,,2/23/20 9:19,0.0489505,,2/23/20 9:19,0.0087309,,2/23/20 9:19,0.0029993,,2/23/20 9:29,0.9643311,,2/23/20 8:59,3.151257753
2/23/20 9:19,0.050231,,2/23/20 9:19,0.0096392,,2/23/20 9:19,0.0019442,,2/23/20 9:19,0.9776336,,2/23/20 9:29,0.0033248,,2/23/20 9:10,63.8613987,,2/23/20 9:19,0.0028913,,2/23/20 9:10,63.8613987,,2/23/20 9:29,0.0490222,,2/23/20 9:29,0.0108977,,2/23/20 9:29,0.0034494,,2/23/20 9:39,0.9209153,,2/23/20 9:10,3.151746035
2/23/20 9:29,0.0539959,,2/23/20 9:29,0.0124941,,2/23/20 9:29,0.0029695,,2/23/20 9:29,0.971595,,2/23/20 9:39,0.0029362,,2/23/20 9:20,63.8613987,,2/23/20 9:29,0.00368,,2/23/20 9:20,63.8613987,,2/23/20 9:39,0.0394549,,2/23/20 9:39,0.0076176,,2/23/20 9:39,0.0026212,,2/23/20 9:49,1.0021891,,2/23/20 9:20,3.151453018
2/23/20 9:39,0.0459105,,2/23/20 9:39,0.0103208,,2/23/20 9:39,0.0027356,,2/23/20 9:39,0.9144399,,2/23/20 9:49,0.0030565,,2/23/20 9:30,63.51064987,,2/23/20 9:39,0.0031845,,2/23/20 9:30,63.51064987,,2/23/20 9:49,0.0412006,,2/23/20 9:49,0.009043,,2/23/20 9:49,0.0027935,,2/23/20 9:59,0.885353,,2/23/20 9:30,3.151160002
2/23/20 9:49,0.0468087,,2/23/20 9:49,0.0071424,,2/23/20 9:49,0.0021969,,2/23/20 9:49,0.9698329,,2/23/20 9:59,0.0030268,,2/23/20 9:40,63.7444973,,2/23/20 9:49,0.0025058,,2/23/20 9:40,63.7444973,,2/23/20 9:59,0.0436428,,2/23/20 9:59,0.0079638,,2/23/20 9:59,0.0024169,,2/23/20 10:08,0.9687958,,2/23/20 9:40,3.151550531
2/23/20 9:59,0.0549525,,2/23/20 9:59,0.011487,,2/23/20 9:59,0.0029903,,2/23/20 9:59,0.9757633,,2/23/20 10:08,0.0029809,,2/23/20 9:50,63.90041046,,2/23/20 9:59,0.003345,,2/23/20 9:50,63.90041046,,2/23/20 10:08,0.0413978,,2/23/20 10:08,0.0081511,,2/23/20 10:08,0.0025965,,2/23/20 10:19,1.0146914,,2/23/20 9:50,3.151160002
2/23/20 10:08,0.0419158,,2/23/20 10:08,0.0097016,,2/23/20 10:08,0.0031061,,2/23/20 10:08,0.9721927,,2/23/20 10:19,0.0026275,,2/23/20 9:59,63.70553017,,2/23/20 10:08,0.0029232,,2/23/20 9:59,63.70553017,,2/23/20 10:19,0.04093,,2/23/20 10:19,0.0089244,,2/23/20 10:19,0.0021319,,2/23/20 10:29,0.9811716,,2/23/20 9:59,3.151257753
2/23/20 10:19,0.044838,,2/23/20 10:19,0.0090584,,2/23/20 10:19,0.001512,,2/23/20 10:19,0.9724503,,2/23/20 10:29,0.0026486,,2/23/20 10:09,63.6665184,,2/23/20 10:19,0.0032022,,2/23/20 10:09,63.6665184,,2/23/20 10:29,0.0395047,,2/23/20 10:29,0.0075848,,2/23/20 10:29,0.0027333,,2/23/20 10:39,0.9377903,,2/23/20 10:09,3.151257753
2/23/20 10:29,0.0483035,,2/23/20 10:29,0.0088135,,2/23/20 10:29,0.0025566,,2/23/20 10:29,0.9799882,,2/23/20 10:39,0.0027037,,2/23/20 10:20,63.549617,,2/23/20 10:29,0.0028537,,2/23/20 10:20,63.549617,,2/23/20 10:39,0.042593,,2/23/20 10:39,0.0085384,,2/23/20 10:39,0.0014452,,2/23/20 10:49,0.910093,,2/23/20 10:20,3.151160002
2/23/20 10:39,0.0478403,,2/23/20 10:39,0.0084821,,2/23/20 10:39,0.0023569,,2/23/20 10:39,0.9410312,,2/23/20 10:49,0.0034382,,2/23/20 10:30,63.7444973,,2/23/20 10:39,0.0028088,,2/23/20 10:30,63.7444973,,2/23/20 10:49,0.0457565,,2/23/20 10:49,0.0091658,,2/23/20 10:49,0.0045293,,2/23/20 10:59,0.9960328,,2/23/20 10:30,3.150866747
2/23/20 10:49,0.0510624,,2/23/20 10:49,0.0098529,,2/23/20 10:49,0.0020008,,2/23/20 10:49,0.987758,,2/23/20 10:59,0.003372,,2/23/20 10:40,63.97834473,,2/23/20 10:49,0.0032674,,2/23/20 10:40,63.97834473,,2/23/20 10:59,0.0466922,,2/23/20 10:59,0.0110194,,2/23/20 10:59,0.0032261,,2/23/20 11:09,0.9943126,,2/23/20 10:40,3.150964737
2/23/20 10:59,0.0451242,,2/23/20 10:59,0.0110625,,2/23/20 10:59,0.0031702,,2/23/20 10:59,0.9617901,,2/23/20 11:09,0.0029234,,2/23/20 10:49,63.78346443,,2/23/20 10:59,0.0037315,,2/23/20 10:49,63.78346443,,2/23/20 11:09,0.041679,,2/23/20 11:09,0.009666,,2/23/20 11:09,0.0024119,,2/23/20 11:18,0.9734792,,2/23/20 10:49,3.15106225
2/23/20 11:09,0.0458641,,2/23/20 11:09,0.0094301,,2/23/20 11:09,0.0024093,,2/23/20 11:09,0.979272,,2/23/20 11:18,0.0031418,,2/23/20 10:59,64.09529419,,2/23/20 11:09,0.0030691,,2/23/20 10:59,64.09529419,,2/23/20 11:18,0.0490473,,2/23/20 11:18,0.0093199,,2/23/20 11:18,0.0023632,,2/23/20 11:29,0.9766954,,2/23/20 10:59,3.151160002
2/23/20 11:18,0.0429955,,2/23/20 11:18,0.0113845,,2/23/20 11:18,0.0028914,,2/23/20 11:18,0.9564729,,2/23/20 11:29,0.002756,,2/23/20 11:09,64.21219559,,2/23/20 11:18,0.003013,,2/23/20 11:09,64.21219559,,2/23/20 11:29,0.0440587,,2/23/20 11:29,0.0084109,,2/23/20 11:29,0.0016673,,2/23/20 11:39,1.0068724,,2/23/20 11:09,3.150476217
2/23/20 11:29,0.0434991,,2/23/20 11:29,0.0097138,,2/23/20 11:29,0.0018982,,2/23/20 11:29,0.9517636,,2/23/20 11:39,0.0028859,,2/23/20 11:19,64.05627899,,2/23/20 11:29,0.002687,,2/23/20 11:19,64.05627899,,2/23/20 11:39,0.0459457,,2/23/20 11:39,0.0090303,,2/23/20 11:39,0.0020698,,2/23/20 11:49,1.0051291,,2/23/20 11:19,3.150964737
2/23/20 11:39,0.0484336,,2/23/20 11:39,0.0093717,,2/23/20 11:39,0.0020771,,2/23/20 11:39,0.9413198,,2/23/20 11:49,0.0030591,,2/23/20 11:30,63.6665184,,2/23/20 11:39,0.0028654,,2/23/20 11:30,63.6665184,,2/23/20 11:49,0.0457018,,2/23/20 11:49,0.0106623,,2/23/20 11:49,0.002012,,2/23/20 11:59,0.9939558,,2/23/20 11:30,3.150964737
2/23/20 11:49,0.0487885,,2/23/20 11:49,0.0102106,,2/23/20 11:49,0.0022355,,2/23/20 11:49,0.9444421,,2/23/20 11:59,0.0029092,,2/23/20 11:40,63.6665184,,2/23/20 11:49,0.0033905,,2/23/20 11:40,63.6665184,,2/23/20 11:59,0.0432341,,2/23/20 11:59,0.0088119,,2/23/20 11:59,0.0026519,,2/23/20 12:09,0.9627892,,2/23/20 11:40,3.15057373
2/23/20 11:59,0.0428693,,2/23/20 11:59,0.0098869,,2/23/20 11:59,0.0024754,,2/23/20 11:59,0.9382438,,2/23/20 12:09,0.0031573,,2/23/20 11:49,63.90041046,,2/23/20 11:59,0.0032831,,2/23/20 11:49,63.90041046,,2/23/20 12:09,0.0436028,,2/23/20 12:09,0.0092579,,2/23/20 12:09,0.0027841,,2/23/20 12:19,0.9770694,,2/23/20 11:49,3.150671482
2/23/20 12:09,0.0440334,,2/23/20 12:09,0.0089085,,2/23/20 12:09,0.0022963,,2/23/20 12:09,0.9629236,,2/23/20 12:19,0.0032244,,2/23/20 11:59,63.82243156,,2/23/20 12:09,0.003375,,2/23/20 11:59,63.82243156,,2/23/20 12:19,0.042681,,2/23/20 12:19,0.0093694,,2/23/20 12:19,0.0030111,,2/23/20 12:29,0.957496,,2/23/20 11:59,3.150476217
2/23/20 12:19,0.0432475,,2/23/20 12:19,0.0083613,,2/23/20 12:19,0.0027624,,2/23/20 12:19,0.9443854,,2/23/20 12:29,0.002993,,2/23/20 12:09,63.549617,,2/23/20 12:19,0.0031247,,2/23/20 12:09,63.549617,,2/23/20 12:29,0.0483653,,2/23/20 12:29,0.0091569,,2/23/20 12:29,0.0024977,,2/23/20 12:39,1.0107791,,2/23/20 12:09,3.150671482
2/23/20 12:28,0.0437453,,2/23/20 12:28,0.0086995,,2/23/20 12:28,0.0011575,,2/23/20 12:28,0.9178611,,2/23/20 12:39,0.002388,,2/23/20 12:19,63.90041046,,2/23/20 12:28,0.0029418,,2/23/20 12:19,63.90041046,,2/23/20 12:39,0.0394255,,2/23/20 12:39,0.0074427,,2/23/20 12:39,0.001216,,2/23/20 12:49,0.9688821,,2/23/20 12:19,3.150866747
2/23/20 12:39,0.0410674,,2/23/20 12:39,0.0099918,,2/23/20 12:39,0.0019331,,2/23/20 12:39,0.9528971,,2/23/20 12:49,0.0032878,,2/23/20 12:29,63.35473328,,2/23/20 12:39,0.0033127,,2/23/20 12:29,63.35473328,,2/23/20 12:49,0.0473886,,2/23/20 12:49,0.011634,,2/23/20 12:49,0.0016041,,2/23/20 12:59,0.9885821,,2/23/20 12:29,3.150378466
2/23/20 12:49,0.0584056,,2/23/20 12:49,0.010459,,2/23/20 12:49,0.0036569,,2/23/20 12:49,0.9243222,,2/23/20 12:59,0.0030303,,2/23/20 12:40,63.6665184,,2/23/20 12:49,0.0032611,,2/23/20 12:40,63.6665184,,2/23/20 12:59,0.044933,,2/23/20 12:59,0.0110637,,2/23/20 12:59,0.0031904,,2/23/20 13:09,1.011038,,2/23/20 12:40,3.15057373
2/23/20 12:59,0.0490535,,2/23/20 12:59,0.0093873,,2/23/20 12:59,0.0018034,,2/23/20 12:59,0.9615325,,2/23/20 13:09,0.0030411,,2/23/20 12:49,63.78346443,,2/23/20 12:59,0.0028839,,2/23/20 12:49,63.78346443,,2/23/20 13:09,0.0507847,,2/23/20 13:09,0.0094809,,2/23/20 13:09,0.0026382,,2/23/20 13:19,0.9452641,,2/23/20 12:49,3.150476217
2/23/20 13:09,0.0427551,,2/23/20 13:09,0.0123078,,2/23/20 13:09,0.0021533,,2/23/20 13:09,0.9785301,,2/23/20 13:19,0.0032733,,2/23/20 12:59,63.90041046,,2/23/20 13:09,0.0028647,,2/23/20 12:59,63.90041046,,2/23/20 13:19,0.0409367,,2/23/20 13:19,0.0090995,,2/23/20 13:19,0.0016237,,2/23/20 13:29,0.9976841,,2/23/20 12:59,3.150769234
2/23/20 13:19,0.0460761,,2/23/20 13:19,0.0086276,,2/23/20 13:19,0.0028731,,2/23/20 13:19,0.9415156,,2/23/20 13:29,0.002439,,2/23/20 13:10,63.97834473,,2/23/20 13:19,0.0030224,,2/23/20 13:10,63.97834473,,2/23/20 13:29,0.0448888,,2/23/20 13:29,0.0087474,,2/23/20 13:29,0.0012812,,2/23/20 13:39,0.9737726,,2/23/20 13:10,3.150085449
2/23/20 13:29,0.0456916,,2/23/20 13:29,0.0091075,,2/23/20 13:29,0.0020047,,2/23/20 13:29,0.9616819,,2/23/20 13:39,0.0028907,,2/23/20 13:20,63.82243156,,2/23/20 13:29,0.0029534,,2/23/20 13:20,63.82243156,,2/23/20 13:39,0.0439533,,2/23/20 13:39,0.0080101,,2/23/20 13:39,0.00225,,2/23/20 13:49,1.0207786,,2/23/20 13:20,3.150280952
2/23/20 13:39,0.0429481,,2/23/20 13:39,0.0093655,,2/23/20 13:39,0.0017619,,2/23/20 13:39,0.9273363,,2/23/20 13:49,0.00317,,2/23/20 13:30,63.82243156,,2/23/20 13:39,0.0031892,,2/23/20 13:30,63.82243156,,2/23/20 13:49,0.0524244,,2/23/20 13:49,0.009895,,2/23/20 13:49,0.002154,,2/23/20 13:59,0.9837376,,2/23/20 13:30,3.150280952
2/23/20 13:49,0.0523587,,2/23/20 13:49,0.0114815,,2/23/20 13:49,0.0031467,,2/23/20 13:49,0.9666436,,2/23/20 13:59,0.0023018,,2/23/20 13:39,64.01731186,,2/23/20 13:49,0.003305,,2/23/20 13:39,64.01731186,,2/23/20 13:59,0.0402681,,2/23/20 13:59,0.0068591,,2/23/20 13:59,0.0019895,,2/23/20 14:09,1.0107503,,2/23/20 13:39,3.15057373
2/23/20 13:59,0.0419609,,2/23/20 13:59,0.007741,,2/23/20 13:59,0.0018759,,2/23/20 13:59,0.9577249,,2/23/20 14:09,0.0028791,,2/23/20 13:50,63.62755127,,2/23/20 13:59,0.0028602,,2/23/20 13:50,63.62755127,,2/23/20 14:09,0.0438435,,2/23/20 14:09,0.0076254,,2/23/20 14:09,0.0027478,,2/23/20 14:19,0.9660859,,2/23/20 13:50,3.150183201
2/23/20 14:09,0.0476684,,2/23/20 14:09,0.0101645,,2/23/20 14:09,0.0030256,,2/23/20 14:09,0.9694156,,2/23/20 14:19,0.0031813,,2/23/20 14:00,63.6665184,,2/23/20 14:09,0.0032094,,2/23/20 14:00,63.6665184,,2/23/20 14:19,0.0446987,,2/23/20 14:19,0.0079803,,2/23/20 14:19,0.0028837,,2/23/20 14:29,0.9659076,,2/23/20 14:00,3.149987936
2/23/20 14:19,0.0450296,,2/23/20 14:19,0.0099689,,2/23/20 14:19,0.0026926,,2/23/20 14:19,0.9735065,,2/23/20 14:29,0.0026668,,2/23/20 14:10,63.62755127,,2/23/20 14:19,0.0028953,,2/23/20 14:10,63.62755127,,2/23/20 14:29,0.046155,,2/23/20 14:29,0.0082008,,2/23/20 14:29,0.0024406,,2/23/20 14:39,0.98429,,2/23/20 14:10,3.150476217
2/23/20 14:29,0.0449821,,2/23/20 14:29,0.0093414,,2/23/20 14:29,0.0016074,,2/23/20 14:29,0.9584153,,2/23/20 14:39,0.0027263,,2/23/20 14:20,63.70553017,,2/23/20 14:29,0.0030679,,2/23/20 14:20,63.70553017,,2/23/20 14:39,0.0469738,,2/23/20 14:39,0.0090914,,2/23/20 14:39,0.0021404,,2/23/20 14:49,0.9261222,,2/23/20 14:20,3.150085449
2/23/20 14:39,0.049591,,2/23/20 14:39,0.0082905,,2/23/20 14:39,0.0015568,,2/23/20 14:39,0.9713322,,2/23/20 14:49,0.0032299,,2/23/20 14:30,64.09529419,,2/23/20 14:39,0.0026296,,2/23/20 14:30,64.09529419,,2/23/20 14:49,0.0373033,,2/23/20 14:49,0.0091663,,2/23/20 14:49,0.0021643,,2/23/20 14:59,0.9545502,,2/23/20 14:30,3.149987936
2/23/20 14:49,0.0485706,,2/23/20 14:49,0.0088827,,2/23/20 14:49,0.0022289,,2/23/20 14:49,0.9147027,,2/23/20 14:59,0.002906,,2/23/20 14:39,63.62755127,,2/23/20 14:49,0.0032841,,2/23/20 14:39,63.62755127,,2/23/20 14:59,0.0371908,,2/23/20 14:59,0.0082779,,2/23/20 14:59,0.0023547,,2/23/20 15:09,0.9882714,,2/23/20 14:39,3.149889946
2/23/20 14:59,0.0481637,,2/23/20 14:59,0.0090018,,2/23/20 14:59,0.0021672,,2/23/20 14:59,0.9963779,,2/23/20 15:09,0.00282,,2/23/20 14:49,63.7444973,,2/23/20 14:59,0.0028461,,2/23/20 14:49,63.7444973,,2/23/20 15:09,0.0459007,,2/23/20 15:09,0.0084851,,2/23/20 15:09,0.0021298,,2/23/20 15:19,0.964078,,2/23/20 14:49,3.150085449
2/23/20 15:09,0.0525881,,2/23/20 15:09,0.010578,,2/23/20 15:09,0.001922,,2/23/20 15:09,0.9734447,,2/23/20 15:19,0.0030081,,2/23/20 15:00,63.39370041,,2/23/20 15:09,0.0030196,,2/23/20 15:00,63.39370041,,2/23/20 15:19,0.0420239,,2/23/20 15:19,0.0093194,,2/23/20 15:19,0.0025252,,2/23/20 15:29,0.9777713,,2/23/20 15:00,3.149987936
2/23/20 15:19,0.0425659,,2/23/20 15:19,0.0100765,,2/23/20 15:19,0.001823,,2/23/20 15:19,0.9357295,,2/23/20 15:29,0.0028423,,2/23/20 15:10,63.6665184,,2/23/20 15:19,0.0030746,,2/23/20 15:10,63.6665184,,2/23/20 15:29,0.0381832,,2/23/20 15:29,0.0089833,,2/23/20 15:29,0.0022881,,2/23/20 15:39,0.9604648,,2/23/20 15:10,3.150085449
2/23/20 15:29,0.0418287,,2/23/20 15:29,0.0102949,,2/23/20 15:29,0.0023264,,2/23/20 15:29,0.9579619,,2/23/20 15:39,0.0030003,,2/23/20 15:20,63.70553017,,2/23/20 15:29,0.0031859,,2/23/20 15:20,63.70553017,,2/23/20 15:39,0.0395413,,2/23/20 15:39,0.0098211,,2/23/20 15:39,0.0039203,,2/23/20 15:49,0.9244882,,2/23/20 15:20,3.150378466
2/23/20 15:39,0.0444367,,2/23/20 15:39,0.0085217,,2/23/20 15:39,0.0018702,,2/23/20 15:39,0.9539843,,2/23/20 15:49,0.0029991,,2/23/20 15:30,63.62755127,,2/23/20 15:39,0.0027227,,2/23/20 15:30,63.62755127,,2/23/20 15:49,0.0482879,,2/23/20 15:49,0.0091764,,2/23/20 15:49,0.0020903,,2/23/20 15:59,0.9286307,,2/23/20 15:30,3.150183201
2/23/20 15:49,0.0546145,,2/23/20 15:49,0.0088343,,2/23/20 15:49,0.0023023,,2/23/20 15:49,0.9769947,,2/23/20 15:59,0.0027907,,2/23/20 15:39,63.97834473,,2/23/20 15:49,0.0028715,,2/23/20 15:39,63.97834473,,2/23/20 15:59,0.0466905,,2/23/20 15:59,0.009227,,2/23/20 15:59,0.0023943,,2/23/20 16:09,0.9518115,,2/23/20 15:39,3.149304152
2/23/20 15:59,0.0458205,,2/23/20 15:59,0.0077866,,2/23/20 15:59,0.0019196,,2/23/20 15:59,0.9418608,,2/23/20 16:09,0.0025378,,2/23/20 15:49,63.6665184,,2/23/20 15:59,0.0026695,,2/23/20 15:49,63.6665184,,2/23/20 16:09,0.0416251,,2/23/20 16:09,0.0081843,,2/23/20 16:09,0.0026241,,2/23/20 16:19,0.9443378,,2/23/20 15:49,3.149792433
2/23/20 16:09,0.0461968,,2/23/20 16:09,0.0097797,,2/23/20 16:09,0.0026572,,2/23/20 16:09,0.9190822,,2/23/20 16:19,0.0031378,,2/23/20 15:59,63.93937759,,2/23/20 16:09,0.0032562,,2/23/20 15:59,63.93937759,,2/23/20 16:19,0.0456265,,2/23/20 16:19,0.0121943,,2/23/20 16:19,0.0026778,,2/23/20 16:29,0.9624267,,2/23/20 15:59,3.149889946
2/23/20 16:19,0.0479355,,2/23/20 16:19,0.0103299,,2/23/20 16:19,0.0030762,,2/23/20 16:19,0.9638304,,2/23/20 16:29,0.0029015,,2/23/20 16:10,63.78346443,,2/23/20 16:19,0.0034721,,2/23/20 16:10,63.78346443,,2/23/20 16:29,0.0435498,,2/23/20 16:29,0.009554,,2/23/20 16:29,0.0015404,,2/23/20 16:39,0.9454539,,2/23/20 16:10,3.149499416
2/23/20 16:29,0.0449564,,2/23/20 16:29,0.0092783,,2/23/20 16:29,0.0016884,,2/23/20 16:29,0.9293457,,2/23/20 16:39,0.0033933,,2/23/20 16:20,63.90041046,,2/23/20 16:29,0.0026005,,2/23/20 16:20,63.90041046,,2/23/20 16:39,0.0447057,,2/23/20 16:39,0.0109635,,2/23/20 16:39,0.0031256,,2/23/20 16:49,0.9935301,,2/23/20 16:20,3.14959693
